source,file_path,created_at,updated_at,scraper_version
oto,/Volumes/Samsam/Public/USIdata/agencja-inwestycyjna-sp-z-o-o/osiedle-sady/usi_oto_67815591.json,2026-05-25T02:06:17.912587,2026-06-02T11:05:57.579801,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agencja-inwestycyjna-sp-z-o-o/zielona-przystan-nowe-mieszkania-ul-blazeja-9/usi_oto_4kMbR.json,2026-05-25T02:06:17.916804,2026-05-25T02:06:17.916805,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/agencja-inwestycyjna-sp-z-oo/zielona-przystan-poznan-naramowice/usi_rp_15322.json,2026-05-25T02:06:17.908773,2026-06-02T23:13:17.081385,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agm-deweloper-kajrys-zarowski-spolka-komandytowo-akcyjna/ogrody-ochocza/usi_oto_4AtHU.json,2026-05-25T02:06:17.905118,2026-05-25T02:06:17.905120,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agmet/stalowa-65/usi_oto_4BjY8.json,2026-05-25T02:06:17.900710,2026-05-25T02:06:17.900712,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agmet/stalowa-65/usi_oto_68000244.json,2026-05-25T02:06:17.900710,2026-06-02T11:04:35.116734,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agnieszka-dukaczewska/villa-moderna-milanowek/usi_oto_4AtiU.json,2026-05-25T02:06:17.891723,2026-05-25T02:06:17.891724,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agri-fabbio-sp-z-o-o/zieloneosiedle-kolobrzeg-domywolnostojace/usi_oto_3kBAc.json,2026-05-25T02:06:17.886586,2026-05-25T02:06:17.886588,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agrobex/harmony-antoninek/usi_oto_4xCci.json,2026-05-25T02:06:17.878670,2026-05-25T02:06:17.878672,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agrobex/unii-lubelskiej-4/usi_oto_4uhNx.json,2026-05-25T02:06:17.883086,2026-05-25T02:06:17.883087,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agrobex-sp-z-o-o/nowe-pobiedziska-2/usi_oto_4lLlb.json,2026-05-25T02:06:17.860049,2026-05-25T02:06:17.860051,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agrobex-sp-z-o-o/osiedle-moderno/usi_oto_4oTTo.json,2026-05-25T02:06:17.869585,2026-05-25T02:06:17.869590,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agrobex-sp-z-o-o/osiedle-tkacka/usi_oto_4rvjO.json,2026-05-25T02:06:17.874928,2026-05-25T02:06:17.874930,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/agrobex-sp-z-oo/kleszczewo-park-etap-iii-poznanski-kleszczewo/usi_rp_14583.json,2026-05-25T02:06:17.833556,2026-06-02T23:13:17.023153,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/agrobex-sp-z-oo/kleszczowa-park-etap-iv-poznanski-kleszczewo/usi_rp_16785.json,2026-05-25T02:06:17.838313,2026-06-02T23:13:17.032388,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/agrobex-sp-z-oo/nove-garby-poznanski/usi_rp_16786.json,2026-05-25T02:06:17.842640,2026-06-02T23:13:17.039882,v0.7.0+
